Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60170574,Julia Data Science,Jose Storopoli,"Storopoli, Jose","Rik Huijzer, Lazaro Alonso",,9798489859165,5,4,,ebook,166,2021,,4/16/2023,4/16/2023,,,read,,,,1,0
58655843,"My Life in Full: Work, Family, and Our Future",Indra  Nooyi,"Nooyi, Indra",,,,5,4.25,Portfolio,Kindle Edition,320,2021,2021,4/15/2023,4/2/2023,,,read,,,,1,0
32899495,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron,"Géron, Aurélien",,,,0,4.55,O'Reilly Media,Kindle Edition,450,2017,2017,,4/9/2023,currently-reading,currently-reading (#5),currently-reading,,,,1,0
24374617,Surprise: Embrace the Unpredictable and Engineer the Unexpected,Tania Luna,"Luna, Tania",Lee Ann Renninger,0698157095,9780698157095,5,3.73,TarcherPerigee,Kindle Edition,268,2015,2015,4/2/2023,3/18/2023,,,read,,,,1,0
59851821,The Bezos Blueprint: Communication Secrets of the World's Greatest Salesman,Carmine Gallo,"Gallo, Carmine",,1250278341,9781250278340,5,4.11,St. Martin's Press,Kindle Edition,261,2022,,3/18/2023,2/5/2023,,,read,,,,1,0
63881964,Colorwise,Kate Strachnyi,"Strachnyi, Kate",,1492097810,9781492097815,5,4.13,O'Reilly Media,ebook,168,2022,,12/25/2022,12/11/2022,,,read,,,,1,0
38818961,Code Girls: The Untold Story of the American Women Code Breakers of World War II,Liza Mundy,"Mundy, Liza",,,,5,3.97,Hachette Books,Kindle Edition,433,2017,2017,2/5/2023,1/4/2023,,,read,,,,1,0
55223004,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,,,5,4.37,Dutton,Kindle Edition,304,2021,2021,12/30/2022,11/27/2022,,,read,,,,1,0
59950540,Effective Pandas: Patterns for Data Manipulation (Treading on Python),Matt Harrison,"Harrison, Matt",,,9798772692936,5,4.46,Independently published,Paperback,497,2021,,12/25/2022,10/8/2022,,,read,,,,1,0
53300627,Interactive Data Visualization with Python: Present Your Data as an Effective and Compelling Story,Abha Belorkar,"Belorkar, Abha","Sharath Chandra Guntuku, Shubhangi Hora, Anshu Kumar",1800200943,9781800200944,0,4.5,Packt Publishing,Paperback,362,2020,,,9/3/2022,to-read,to-read (#20),read,,,,0,0
50017483,All Our Wrong Todays,Elan Mastai,"Mastai, Elan",,,,5,3.75,Dutton,Kindle Edition,380,2017,2017,11/26/2022,10/22/2022,,,read,,,,1,0
24233708,"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green,"Green, Hank",,,,3,4.04,Dutton,Kindle Edition,343,2018,2018,10/15/2022,9/17/2022,,,read,,,,2,0
19523068,"Sketchnote Workbook, The: Advanced techniques for taking visual notes you can use anywhere",Mike Rohde,"Rohde, Mike",,013383171X,9780133831719,5,4.16,Peachpit Press,Paperback,224,2014,2012,10/8/2022,10/8/2022,,,read,,,,1,0
54447930,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,,,5,3.43,Ballantine Books,Kindle Edition,384,2020,2020,9/14/2022,8/28/2022,,,read,,,,1,0
